draw_date,session,winning_number
2022-09-22,Evening,0537
2022-09-22,Night,1072
2022-09-23,Midday,8435
2022-09-23,Evening,9684
2022-09-23,Night,1859
2022-09-24,Midday,5525
2022-09-24,Evening,1550
2022-09-24,Night,5511
2022-09-25,Midday,8557
2022-09-25,Evening,1353
2022-09-25,Night,5626
2022-09-26,Midday,0165
2022-09-26,Evening,0669
2022-09-26,Night,8223
2022-09-27,Midday,4915
2022-09-27,Evening,8885
2022-09-27,Night,2989
2022-09-28,Midday,4004
2022-09-28,Evening,8942
2022-09-28,Night,2409
2022-09-29,Midday,9442
2022-09-29,Evening,4877
2022-09-29,Night,8429
2022-09-30,Midday,5063
2022-09-30,Evening,1558
2022-09-30,Night,2257
2022-10-01,Midday,6944
2022-10-01,Evening,7567
2022-10-01,Night,3777
2022-10-02,Midday,7739
2022-10-02,Evening,8654
2022-10-02,Night,9906
2022-10-03,Midday,2373
2022-10-03,Evening,5068
2022-10-03,Night,8087
2022-10-04,Midday,5710
2022-10-04,Evening,3174
2022-10-04,Night,3315
2022-10-05,Midday,1783
2022-10-05,Evening,4823
2022-10-05,Night,3580
2022-10-06,Midday,8065
2022-10-06,Evening,6893
2022-10-06,Night,6800
2022-10-07,Midday,1127
2022-10-07,Evening,0635
2022-10-07,Night,1372
2022-10-08,Midday,6445
2022-10-08,Evening,7521
2022-10-08,Night,5594
2022-10-09,Midday,6198
2022-10-09,Evening,3864
2022-10-09,Night,4278
2022-10-10,Midday,4152
2022-10-10,Evening,0784
2022-10-10,Night,4509
2022-10-11,Midday,6714
2022-10-11,Evening,8682
2022-10-11,Night,8653
2022-10-12,Midday,0450
2022-10-12,Evening,9440
2022-10-12,Night,5701
2022-10-13,Midday,2621
2022-10-13,Evening,8476
2022-10-13,Night,2949
2022-10-14,Midday,8081
2022-10-14,Evening,7222
2022-10-14,Night,8666
2022-10-15,Midday,6853
2022-10-15,Evening,7751
2022-10-15,Night,5078
2022-10-16,Midday,4009
2022-10-16,Evening,0446
2022-10-16,Night,9770
2022-10-17,Midday,9738
2022-10-17,Evening,3189
2022-10-17,Night,0191
2022-10-18,Midday,5646
2022-10-18,Evening,5462
2022-10-18,Night,5861
2022-10-19,Midday,3620
2022-10-19,Evening,8592
2022-10-19,Night,1681
2022-10-20,Midday,0355
2022-10-20,Evening,6066
2022-10-20,Night,6416
2022-10-21,Midday,9091
2022-10-21,Evening,3835
2022-10-21,Night,9423
2022-10-22,Midday,0063
2022-10-22,Evening,0695
2022-10-22,Night,2995
2022-10-23,Midday,3611
2022-10-23,Evening,3843
2022-10-23,Night,6660
2022-10-24,Midday,2729
2022-10-24,Evening,0032
2022-10-24,Night,1186
2022-10-25,Midday,2816
2022-10-25,Evening,3250
2022-10-25,Night,8732
2022-10-26,Midday,4941
2022-10-26,Evening,9011
2022-10-26,Night,0078
2022-10-27,Midday,2592
2022-10-27,Evening,9291
2022-10-27,Night,9024
2022-10-28,Midday,6161
2022-10-28,Evening,5270
2022-10-28,Night,6895
2022-10-29,Midday,5902
2022-10-29,Evening,9182
2022-10-29,Night,8445
2022-10-30,Midday,1580
2022-10-30,Evening,1208
2022-10-30,Night,3729
2022-10-31,Midday,0938
2022-10-31,Evening,8923
2022-10-31,Night,9005
2022-11-01,Midday,9600
2022-11-01,Evening,1040
2022-11-01,Night,9345
2022-11-02,Midday,2022
2022-11-02,Evening,1988
2022-11-02,Night,7200
2022-11-03,Midday,1334
2022-11-03,Evening,0948
2022-11-03,Night,8866
2022-11-04,Midday,4298
